QUARTER,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DelayedDepartureSFO,ScheduledDepartureSFO,DelayedArrivalPHL,ScheduledArrivalPHL
3,7,1,22,-7.0,35.0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0
2,4,6,8,33.0,32.0,8.0,16,1.0,33.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,4,22,19.0,19.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,10,-5.0,70.0,11.0,19,1.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,5,11,123.0,27.0,19.0,19,1.0,0.0,0.0,51.0,0.0,86.0,0.0,0.0,0.0,0.0
2,4,6,10,9.0,11.0,5.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0
2,6,4,11,24.0,17.0,9.0,19,1.0,2.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0
1,1,4,13,1.0,20.0,18.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,1,11,61.0,24.0,13.0,19,1.0,1.0,0.0,0.0,0.0,40.0,13.0,47.0,3.0,5.0
3,7,2,22,6.0,25.0,7.0,7,1.0,0.0,0.0,12.0,0.0,6.0,0.0,1.0,1.0,9.0
3,8,2,0,9.0,15.0,9.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,7,22,0.0,37.0,8.0,7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,3.0,12.0
3,8,4,22,-4.0,32.0,7.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,4,22,125.0,15.0,10.0,7,1.0,0.0,0.0,0.0,0.0,81.0,15.0,29.0,6.0,22.0
3,9,2,22,-2.0,19.0,9.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,2,11,-4.0,35.0,5.0,19,1.0,0.0,0.0,21.0,0.0,0.0,15.0,29.0,6.0,22.0
3,7,5,22,27.0,19.0,6.0,7,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
